id;kanji;furigana;french;word;lesson
299;大,会;たい,かい;congrès|assemblée générale;1;14
300;何;なに;quoi?;0;15
301;社;しゃ;association|compagnie;0;15
302;新,し,い;あたら,し,い;nouveau;0;15
303;力;ちから;force|pouvoir;0;15
304;男;おとこ;homme;0;15
305;竹;たけ;bambou;0;15
306;何;なん;quoi?;0;15
307;何,時,間;なん,じ,かん;combien de temps?;1;15
308;何,人;なん,にん;combien de personnes?;1;15
309;幾,何,学;き,か,がく;géométrie;1;15
310;社;やしろ;temple shintoïste;1;15
311;会,社;かい,しゃ;compagnie|entreprise;1;15
312;神,社;じん,じゃ;temple shintoïste;1;15
313;新,た;あら,た;à nouveau;1;15
314;新,年;しん,ねん;nouvelle année;1;15
315;体,力;たい,りょく;force physique;1;15
316;男,女;だん,じょ;hommes et femmes;1;15
317;男,性;だん,せい;homme;1;15
318;長,男;ちょう,なん;fils aîné|premier fils;1;15
319;竹,や,ぶ;たけ,や,ぶ;fourré de bambous;1;15
320;竹,林;ちく,りん;forêt de bambous;1;15
321;答,え,る;こた,え,る;répondre;0;16
322;学,ぶ;まな,ぶ;apprendre|étudier;0;16
323;校;こう;correction|réflexion;0;16
324;雨;あめ;pluie;0;16
325;雲;くも;nuage;0;16
326;雪;ゆき;neige;0;16
327;答,え;こた,え;réponse;1;16
328;解,答;かい,とう;réponse (à une question);1;16
329;解,答,用,紙;かい,とう,よう,し;feuille réponse;1;16
330;文,学;ぶん,がく;littérature;1;16
331;数,学;すう,がく;mathématiques;1;16
332;学,校;がっ,こう;école;1;16
333;校,庭;こう,てい;cour de récréation;1;16
334;雨,天;う,てん;temps pluvieux;1;16
335;雷,雨;らい,う;orage;1;16
336;雨,傘;あま,がさ;parapluie;1;16
337;雨,雲;あま,ぐも;nuages de pluie;1;16
338;雲,海;うん,かい;mer de nuages;1;16
339;雪,搔,き;ゆき,か,き;enlèvement de la neige;1;16
340;新,雪;しん,せつ;nouvelle neige;1;16
341;除,雪;じょ,せつ;déneigement;1;16
342;電;でん;électricité;0;17
343;天;てん;ciel|firmament;0;17
344;気;き;esprit|énergie vitale;0;17
345;安,い;やす,い;bon marché;0;17
346;家;いえ;maison;0;17
347;室;しつ;pièce|chambre;0;17
348;電,車;でん,しゃ;train;1;17
349;停,電;てい,でん;panne d'électricité;1;17
350;天,の,川;あま,の,がわ;la voie lactée;1;17
351;天,体;てん,たい;astre|corps céleste;1;17
352;天,気;てん,き;température|temps;1;17
353;電,気;でん,き;électricité;1;17
354;本,気;ほん,き;sérieux|sérieusement;1;17
355;気,持,ち;き,も,ち;sentiment|état d'âme;1;17
356;安,心;あん,しん;tranquillité d'esprit;1;17
357;安,定;あん,てい;stabilité;1;17
358;家,族;か,ぞく;famille;1;17
359;一,軒,家;いっ,けん,や;maison individuelle;1;17
360;和,室;わ,しつ;pièce japonaise;1;17
361;海;うみ;mer;0;18
362;春;はる;printemps;0;18
363;夏;なつ;été;0;18
364;秋;あき;automne;0;18
365;冬;ふゆ;hiver;0;18
366;花;はな;fleur;0;18
367;海,水;かい,すい;eau de mer;1;18
368;洪,水;こう,ずい;inondation;1;18
369;日,本,海;に,ほん,かい;Mer du Japon;1;18
370;北,海,道;ほっ,かい,どう;Hokkaido;1;18
371;春,風;はる,かぜ;brise printanière;1;18
372;青,春;せい,しゅん;jeuness;1;18
373;夏,休,み;なつ,やす,み;vacances d'été;1;18
374;夏,季,五,輪;か,き,ご,りん;Jeux olympiques d'été;1;18
375;秋,風;あき,かぜ;vent d'automne;1;18
376;千,秋,楽;せん,しゅう,らく;dernière représentation;1;18
377;冬,休,み;ふゆ,やす,み;vacances d'hiver;1;18
378;冬,季,五,輪;とう,き,ご,りん;Jeux olympiques d'hiver;1;18
379;花,火;はな,び;feu d'artifice;1;18
380;花,瓶;か,びん;vase (pour fleurs);1;18
